Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",camel-case,"moveNorth",Yes,10.81
"jump high",camel-case,"jumpHigh",Yes,2.51
"run fast",camel-case,"runFast",Yes,2.10
"cook dinner",camel-case,"cookDinner",Yes,4.02
"build house",camel-case,"buildHouse",Yes,4.03
"close all windows",camel-case,"closeAllWindows",Yes,5.65
"send a quick message",camel-case,"sendAQuickMessage",Yes,4.90
"eat a red apple",camel-case,"eatARedApple",Yes,3.85
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,6.72
"watch a new movie",camel-case,"watchANewMovie",Yes,4.83
"move north",kebab-case,"move-north",Yes,6.73
"jump high",kebab-case,"jump-high",Yes,3.28
"run fast",kebab-case,"run-fast",Yes,4.97
"cook dinner",kebab-case,"cook-dinner",Yes,3.35
"build house",kebab-case,"build-house",Yes,3.18
"close all windows",kebab-case,"chose-all-windows",No,0.95
"send a quick message",kebab-case,"send-a-quick-message",Yes,8.17
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,3.21
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,4.13
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,3.80
