Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",kebab-case,"move-north",Yes,8.03
"jump high",kebab-case,"jump-high",Yes,2.50
"run fast",kebab-case,"run-fast",Yes,3.73
"cook dinner",kebab-case,"cook-dinner",Yes,2.22
"build house",kebab-case,"built-house",No,2.35
"close all windows",kebab-case,"close-gall-windows",No,4.52
"send a quick message",kebab-case,"send-a-quick-message",Yes,3.00
"eat a red apple",kebab-case,"eat-a-read-apple",No,6.15
"scan the printed document",kebab-case,"scam-the-printed-document",No,5.33
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,4.62
"move north",camel-case,"moveNorth",Yes,3.85
"jump high",camel-case,"jumpHigh",Yes,2.33
"run fast",camel-case,"runFast",Yes,3.17
"cook dinner",camel-case,"cookDinner",Yes,3.63
"build house",camel-case,"buildHouse",Yes,2.73
"close all windows",camel-case,"closeAllWindows",Yes,3.78
"send a quick message",camel-case,"sendAQuickMessage",Yes,4.68
"eat a red apple",camel-case,"eatAReadApple",No,5.28
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,3.97
"watch a new movie",camel-case,"watchANewMovie",Yes,4.08
