Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",kebab-case,"move-north",Yes,6.06
"jump high",kebab-case,"jump-high",Yes,4.06
"run fast",kebab-case,"run-fast",Yes,3.18
"cook dinner",kebab-case,"cook-dinner",Yes,2.47
"build house",kebab-case,"build-house",Yes,3.52
"close all windows",kebab-case,"close-all-windows",Yes,4.30
"send a quick message",kebab-case,"send-a-quick-message",Yes,4.68
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,4.12
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,3.58
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,2.93
"move north",camel-case,"moveNorth",Yes,2.42
"jump high",camel-case,"jumpHigh",Yes,3.75
"run fast",camel-case,"runFast",Yes,2.55
"cook dinner",camel-case,"cookDinner",Yes,2.92
"build house",camel-case,"buildHouse",Yes,2.62
"close all windows",camel-case,"closeAllWindows",Yes,3.32
"send a quick message",camel-case,"sendAQuickMessage",Yes,4.93
"eat a red apple",camel-case,"eatARedApple",Yes,5.63
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,4.72
"watch a new movie",camel-case,"watchANewMovie",Yes,3.65
