Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",kebab-case,"move-north",Yes,6.33
"jump high",kebab-case,"jump-high",Yes,3.40
"run fast",kebab-case,"run-fast",Yes,2.78
"cook dinner",kebab-case,"cook-dinner",Yes,6.08
"build house",kebab-case,"build-house",Yes,2.67
"close all windows",kebab-case,"chose-all-windows",No,4.23
"send a quick message",kebab-case,"send-a-quick-message",Yes,1.52
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,2.32
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,5.82
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,2.22
"move north",camel-case,"moveNorth",Yes,1.78
"jump high",camel-case,"jumpHigh",Yes,2.83
"run fast",camel-case,"runFast",Yes,3.63
"cook dinner",camel-case,"cookDinner",Yes,2.20
"build house",camel-case,"buildHouse",Yes,2.22
"close all windows",camel-case,"closeAllWindows",Yes,1.72
"send a quick message",camel-case,"sentAQuickMessage",No,2.17
"eat a red apple",camel-case,"eatARedApple",Yes,7.95
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,3.15
"watch a new movie",camel-case,"watchANewMovie",Yes,3.15
